0,1,2
egesian,v, to terrify
eglan,v," to trouble, pain, vex, plague, ail, molest, afflict"
egle,adj, hideous; loathsome; hateful; horrid; troublesome; grievous; painful
ehtan,v," to chase, pursue; follow after"
ehtend,n," pursuer, persecutor"
el,n," el, the letter L"
ele,n, oil
elebeam,n, olive tree
eleberge,n, olive
elfen,n," a female elf, a fairy, nymph"
ellen,n," strength, courage, bravery"
ellencampian,v, to contend vigorously
eln,n, ell
elnboga,n, elbow
elp,n, elephant
elpenbænen,adj, ivory
elpend,n, elephant
elpendban,n, ivory
elreord,adj, foreign speech; foreign-speaking; barbarous
elreordig,adj, foreign-speaking; barbarous
elþeod,n," foreign land; foreign people, unfamiliar nation"
elþeodig,adj," foreign, of another nationality, alien; strange, barbarous; hostile"
ende,n," end, limit, border, corner"
endedæg,n," final day, day of death"
endeleas,adj, endless
endeleasnes,n, infinity
endesæta,n," coastguard, border watchman"
endian,v," to end, make an end of"
ened,n, duck (aquatic bird of the family Anatidae)
engel,n, angel
engellic,adj," angelic, of angels"
ent,n, giant
entisc,adj, giant; of a giant; belonging to or made by a giant
eofor,n, boar; wild boar
eoforlic,n," boar image, figurine of a boar"
eoforþring,n, the constellation of Orion
eoh,n," horse, steed"
eolet,n," sea voyage, journey"
eolh,n, elk
eolhsand,n, amber
eorcnan,adj," precious, noble, true(?)"
eorcnanstan,n," precious stone, pearl"
eored,n, a cavalry; band; troop; legion
eorl,n, Anglo-Saxon of noble rank; a nobleman ranking above a thane; alderman
eornost,n, earnestness
eorp,adj," dark, dusky"
eorþbeofung,n, earthquake
eorþberige,n, strawberry
eorþcræft,n, geometry
eorþe,n, ground
eorþern,n, earthen place
eorþfæt,n," an earthen vessel, the body"
eorþifig,n, ground ivy
eorþlic,adj," earthly, terrestrial"
eorþling,n," farmer, husbandman, ploughman"
eorþnafola,n, asparagus
eoten,n," giant, monster"
eotenas,n, plural of eoten
eowu,n, ewe
erian,v, to plough
erschenn,n, quail
esol,n, donkey
essian,vt," to waste, consume"
est,n," consent, grace, favor; kindness"
etan,v, to eat
eþel,n," one's native country, homeland"
eþelboda,n," a native preacher, apostle of a country"
eþeldream,n, joy from one's homeland
eþeleard,n, native dwelling
eþelfæsten,n, a country's fastness
eþelland,n, native land
eþelleas,adj," countryless, homeless"
eþelmearc,n, the boundary of a country
eþelrice,n, native realm
eþelriht,n, the right of a country
eþelstaþol,n, native settlement
eþelstol,n, native seat or dwelling
eþelstow,n, dwelling-place
eþelturf,n," home turf, native country"
eþelweard,n, guardian of the homeland
eþelwynn,n, joy of country
eþelþrym,n, the native country's dignity
eþian,v," to breathe, inspire"
facentacen,n, false sign
facian,v," to obtain, acquire"
facn,n," deceit, fraud, guile"
fadian,v," to arrange, set in order, dispose"
fagettan,v, to change color
fah,adj, guilty; criminal
fals,n," falsehood, fraud, counterfeit"
fam,n, foam
fana,n, flag
fandian,v," to try, tempt, prove, test"
fang,n," plunder, booty"
fanu,n, synonym of fana
faran,v," to go, travel"
faroþ,n," tide, current"
faru,n, a journey or going
faþe,n," father's sister, paternal aunt"
faþu,n," father's sister, paternal aunt"
fealcen,n, falcon [bird]
feald,n, occasion
fealdan,v, to fold
fealg,n, fallow
fealh,n, pipe
feallan,v, to fall
fealle,n, trap
fealu,adj," yellow, dusky, grey"
fealwian,v, to grow yellow
fearh,n, piglet
fearn,n, fern
fearr,n, bull
feasceaft,adj," destitute, miserable"
feaw,adj, few
feax,n, hair (on the head)
feaxnett,n, hairnet
feccan,v," to fetch, bring; to draw"
fedan,v, to feed
fefor,n, fever
fegan,v," to join, unite"
feht,n, woolen fleece
fela,adj," much, many"
felafeald,adj, manifold
felahror,adj," very active, having done much, full of exploits"
felan,v, to feel; perceive; touch
feld,n, field
feldbeo,n, a field-bee
feldlic,adj, fieldlike
feldmore,n, parsnip
feldswamm,n, a field mushroom; toadstool; fungus
feldwyrt,n," fieldwort, gentian"
feldælfen,n, woodnymph
fell,n, fell
fellen,adj, made of skin
felt,n, felt
feltwurma,n, wild marjoram
feltwyrt,n, mullein
fenester,n, window
fengel,n," lord, prince, king"
fenix,n, phoenix (mythical bird)
fenlic,adj," fenlike, fenny"
fenn,n, fen
fennig,adj, fenny
feogan,v, to hate; persecute
feoh,n, money
feohern,n," treasury, place of money"
feohgift,n," treasure-giving, dispensing of gifts"
feoht,n, fight
feohtan,v, to fight
feohtlac,n, fighting
feolan,v, to reach; penetrate; come; pass
feond,n, enemy
feondlic,adj, hostile
feondræden,n, enmity
feondscipe,n," hostility, enmity"
feorbuend,n," foreigner, alien"
feorh,n," life, principles of life, soul, spirit"
feorhbealo,n," mortal evil, deadly curse, life-bane"
feorhscyldig,adj, life-guilty
feorhweard,n," mortal protection, guard over life"
feorm,n," food, sustenance, provision; meal, feast, banquet"
feormeham,n, farm
feormere,n," one who supplies with food, purveyor, grocer, farmer"
feormian,v," to cleanse, scour, furbish"
feornes,n," farness, distance"
feorr,adj, far; at a distance
feorran,v," to remove, withdraw"
feorsian,v," to exceed, go beyond"
feortan,v, to fart
feorweg,n," a distant path, a long way"
feowerfeald,adj, fourfold; four times as great
feran,v," to go, to travel or journey"
ferhþ,n, life
ferian,v," to take, move, carry"
ferræden,n," society, fellowship"
fers,n, verse
fersc,adj, fresh
fet,n, plural of fōt
fetel,n, fettle
feter,n, a fetter
fetian,v," to fetch, bring near"
feþer,n, a feather
feþerbære,adj," feathered, winged"
fic,n, a fig or fig tree
fician,v," to deceive; bewile, mislead, con"
ficol,adj, deceitful
fictreow,n, fig tree
fieldestol,n, folding chair
fiell,n, a fall
fiellan,v, to fell
fierd,n," a national army, the entire land force of a country or nation"
fierdfæreld,n, military expedition or service
fiersn,n," heel, calx"
fifealde,n, butterfly
fifel,n," monster, giant"
fifelcynn,n, monsterkind; the race of giants or monsters
fiffeald,adj, fivefold
filmen,n, membrane
fina,n, woodpecker
finc,n, a finch
findan,v," to find, meet"
findig,adj, capable
finger,n, finger
fingerdocce,n, finger muscles
fingeræppel,n, date
finn,n, fin
finta,n, tail
finul,n, fennel
firen,n," crime, sin"
firendæd,n," wicked deed, a crime"
firenfull,adj, sinful
firengeorn,adj, sinful
firenhycga,n," a person with sinful ideas, an adulterer"
firenhycge,n," adulteress, harlot"
firenian,v, to sin
firenleahtor,n, Great sin
firenlic,adj," sinful, wicked"
firenligerian,v, to fornicate
firenlust,n," sinful lust, luxury, extravagance"
firensynn,n, gross sin
firensynnig,adj, sinful
firentacen,n, mark of sin
firentacnian,v, to pollute with sin
firgen,n," mountain, mountain woodland"
fisc,n, fish
fiscere,n, fisherman
fiscian,v, to fish
fisclacu,n, fishpond
fiscoþ,n, fishing
fitt,n, song
fiþerbære,adj, bearing feathers; feathered
fiþere,n, wing
fiþerfete,adj," four-footed, quadrupedal"
fiþerian,v, to give wings to; provide with wings
fiþerleas,adj, wingless
flacor,adj, flying
flan,n, a barb
flanhræd,adj, swift as an arrow
flaniht,adj," dart, arrow"
flanþracu,n, thrust of an arrow
flasce,n," flask, bottle"
fleah,n, flea
fleam,n," escape, flight"
flean,v," to flay, pull the skin off, skin"
fleard,n," fraud, deceit, trickery, deception"
fleardere,n, one who acts wantonly or with (wicked) folly
fleax,n," linen, flax"
fleaxen,adj, flaxen; of flax
fleo,n, a white spot in the eye
fleogan,v, to fly (like a bird)
fleoge,n, a fly
fleogenda,n," a bird, [lit.] a flyer"
fleohtan,v, to weave; plait
fleon,v," to flee, escape"
fleos,n, fleece
fleotan,v, to float
flet,n," the floor, ground"
fletgefeoht,n, fighting within a house
flett,n," the floor, ground"
flewsa,n," flow, flux, issue"
flicorian,v," to move ones wings, flap, flutter"
fliema,n," fugitive, refugee, runaway (a person who flees from something)"
fliete,n," cream, skimming, curds"
flitan,vi," to strive, contend, struggle"
flocc,n," flock, herd"
flod,n, flowing of the tide
flodyþ,n," a flood-wave, tidal wave"
flor,n, the floor or ground
florstan,n," floor stone, pavement"
flota,n, sailor
flotian,v, to float
flowan,v, to flow
flugol,adj," swift, fleeting, apt to fly or flee"
flyht,n, flight (the act of flying)
flæsc,n, flesh
flæscmete,n, meat; flesh
fneosan,v, to sneeze
fnora,n, a sneeze
fnæd,n, fringe
fnæs,n, fringe
fnæst,n," breath, blowing"
foda,n, food
fodor,n, fodder
fola,n," foal, colt"
folc,n," a people, nation, tribe"
folcgefeoht,n, a battle of peoples
folcland,n, land of the folk or people; land of the community
folclar,n, popular instruction
folclic,adj," folklike, common, general, public, national, concerning the whole people"
folcræden,n, law of a nation or of a people
folcstede,n," public place, meeting-place"
foldbold,n," house, castle"
foldbuend,n," one who lives on the land; an earth-dweller, a man"
folde,n," land, earth, ground"
folgian,v, to follow
folm,n," hand, palm"
fon,v," to catch, capture; seize"
for,n," journey, going, course, expedition, approach; passage, lifestyle, way of life"
forbeodan,v," to forbid, prohibit, ban"
forberan,v," to abstain, refrain, restrain, forbear; bear away from; keep away from"
forberstan,v," to burst asunder, break, fail"
forbindan,v, to bind or tie up
forbirnan,vi," to burn (completely): burn down, burn up"
forbitan,v," to bite up, bite into pieces, destroy by biting"
forblawan,v," to blow away, blow up, inflate"
forbod,n," a forbidding, forbode, prohibition"
forboden,adj, forbidden
forbrecan,v," to break up, break in two, crush, destroy, violate"
forbugan,v," to avoid, abstain"
forbugennes,n, avoidance
forbærnan,vt," to burn (completely): burn down, burn up"
forca,n, fork
forcel,n, a pitchfork
forceorfan,v," to cut or carve out or away, cut through, cut asunder, divide"
forcierrednes,n, perversity
forcippian,v, to cut off
forclingan,v, to shrink up
forcuman,v," to overcome, surpass; overtake, destroy, consume, wear out"
forcweþan,v," to rebuke, reprove, upbraid; berate; chide; scold (someone)"
forcyrran,v, to turn against
forcyrring,n, turning aside
ford,n, ford
fordeman,v," to condemn, sentence; doom"
fordon,v," to kill, destroy, exterminate"
fordragan,v," to endure, bear, suffer"
fordrencan,v, to get someone drunk; to make inebriated
fordrifan,v," to drive away, drive off (something from rest), banish, eject, expel"
fordrincan,v," to make drunk, inebriate"
fordrugian,v," to dry up, wither, dry away, parch"
fordruncnian,v," to make drunk, bedrunken"
fordwinan,v," to dwindle, fade, or pass away, vanish, come to an end"
fordælan,v," to deal out, expend"
forealdian,v," to grow or wax old, become old"
foreberan,v," to bear before, prefer"
forebisen,n, example
forebisgian,v, to preoccupy; forebusy; busy beforehand
forebodian,v," to announce, declare, forebode"
foreceorfan,v, to cut off the front of
forecuman,v," to come forth, come or go before, prevent"
forecweþan,v," to foretell, predict"
foredeman,v," to prejudge, assume"
forefon,v," to anticipate, take before; foretake"
foregan,v," to precede, stand out, go before; forego"
foregangan,v," to forego, go before, precede, rank higher than"
foregenga,n, predecessor
foregengel,n, a forerunner or predecessor
forelar,n, preaching
forelocc,n, a forelock; lock of hair that covers the forehead
forelædan,v, to lead forth
foremearcod,adj, fore-noted
foremearcung,n, a chapter heading; a title
forenama,n, pronoun
foresceawian,v," to foresee, observe beforehand, foreknow"
foresceawung,n," a foreshowing, foreseeing, foresight, foreknowledge, forethought, providence"
foresecgan,v," to say beforehand, foretell, predict, prophesy"
foresendan,v," to send before, send beforehand"
foreseon,v," to see beforehand; foresee, provide"
foresetnes,n, proposition
foresettan,v," to set or put before, propose; put in the front or fore of"
foresmeagan,v, to premeditate
forespræc,n," a forespeech, preface, foreword, introductory, a speaking before, a fore-promise"
forestandan,v," to stand before, preside, lead, excel"
foresteall,n, intervention
foresteppan,v," to step or come before, prevent"
foresægdnes,n," preface, introduction (to a text)"
foretacen,n, a presage; sign or token foreshadowing something
forewarnian,v, to forewarn; warn beforehand
foreweard,n," an agreement, compact, treaty"
forewitan,v, to foreknow
forewittig,adj," foreknowing, sagacious, presaging, prophetic; foretelling"
forewritan,v," to proscribe, banish"
foreþencan,v, to think beforehand; forethink
foreþingian,v," to defend, plead for"
forfaran,v, to go or pass away; fare away
forfon,v, to take as forfeit
forgan,v," to abstain from, pass over, neglect, forgo; go away from"
forgangan,v," to forgo; go away from, forbear, abstain from"
forgiefan,v, to give
forgiefendlic,adj, dative
forgieldan,v," to repay, to requite, to make good"
forgieman,v, to neglect
forgiemeleasian,v, to neglect entirely
forgiemeleasnes,n, carelessness
forgietan,v, to forget
forgifnes,n," forgiveness, permission, remission, release"
forgnagan,v," to gnaw or eat up, gnaw away"
forgripan,v, to grasp or seize
forgrowan,v," to grow up, grow into"
forgyrdan,v," to girdle, enclose; begird"
forhabban,vt," to hold in, restrain, retain"
forhatan,v, to promise or vow not to do
forhatena,n, ill-named or reprobate person
forhealdan,v," to keep or hold back (something), withhold, disregard, neglect; hold away"
forheardian,v, to harden
forhelan,v," to hide away, conceal"
forhierdan,v, to harden against
forhweorfan,v, to pass away or be destroyed
forhycgan,v," to despise, scorn (somebody or something)"
forhydan,v," to hide, hide away or fully"
forleosan,v, to lose
forlicgan,v," to lie wrongly with, lie in a forbidden manner, fornicate"
forliden,adj, shipwrecked
forlidennes,n, shipwreck
forliger,n," adultery, fornication"
forligerhus,n, a brothel
forliþan,v, to shipwreck
forlædan,v," to seduce, mislead; lead away, lead off"
forlæran,v," to misteach, teach amiss, teach wrongly, deceive, seduce; mislead"
forlætan,v, to leave
forma,adj, first
formeltan,v," to melt away, liquify"
formest,adj, first
forn,n, trout
forniman,v," to take away, plunder, waste, ransack"
forrædan,v," to deprive of by treachery, give counsel against, plot against"
forsacan,v," to oppose, give up (something), renounce"
forsceadan,v," to scatter, disperse; scatter away"
forscrihan,v," to resign, give up, abdicate"
forscrincan,v," to shrink up, dwindle away, wither"
forscyldig,adj," very guilty, wicked, flagitious"
forscyldigian,v," to make or become guilty; beguilt, criminate, condemn"
forscyttan,v, to shut off or out
forsecan,v," to punish, afflict, seek to harm, attack; onfall"
forsecgan,v," to say wrongly, say ill"
forsellan,v," to give up, sacrifice, lose"
forsendan,v," to send away, banish, cast or throw away"
forseon,v, to overlook
forseoþan,v, to boil or seethe away
forsettan,v," to stop up, block, obstruct"
forsittan,v," to delay, defer, obstruct, besiege"
forslawian,v," to be slow or unwilling, lose by sloth, neglect through laziness"
forslean,v," to break, destroy, kill, smite, slay, strike with violence"
forspendan,v," to spend utterly; spend away, consume, exhaust with spending"
forspillan,v, to destroy
forsprecan,v," to speak against, speak ill of, denounce"
forstandan,v," to stand for, defend; shield, help, benefit"
forstelan,v," to steal away, steal with violence, rob; bereave, deprive one of belongings"
forstoppian,v, to stop up
forswelgan,v," to swallow up, devour"
forswerian,v," to swear falsely, perjure, forswear; swear away from"
forswiþan,v, to overcome
forteon,v," to draw away, seduce; forlead, mislead"
fortredan,v," to tread upon, tread utterly down on, tread under foot"
forweaxan,v," to overgrow, swell, grow too much; wax wrongly; grow away"
forwemman,v, to defile
forwenan,v," to overween, think too highly of"
forweorpan,v," to cast away, throw away, reject"
forweorþan,v," to perish, to fall into ruin, forworth"
forwlencan,v," to exalt, fill with pride, make very proud"
forwrecan,v," to drive out, banish, expel"
forwritan,v, to cut asunder
forwundian,v, to wound badly
forwyrcan,v," to work wrongfully, do wrong, sin"
forþberan,v," to carry or bear forth, bring forth or forward, produce"
forþbringan,v," to bring forth, produce, fulfill, accomplish"
forþcuman,v," to come forth or forward, proceed, succeed, arrive; oncome"
forþfaran,v," to go or fare forth, depart, die"
forþferan,v, to die
forþflowan,v, to flow forth
forþgan,v," to go forth, proceed, go or pass by"
forþgang,n," a going forth, a going on, progress, advance"
forþgangan,v," to go forth, proceed"
forþgeriman,v," to count up, count out"
forþgesceaft,n, the world; creation
forþgestigan,v, to go forward; go forth
forþgewitan,v," to go forth, pass, proceed, go by"
forþingian,n, to intercede
forþlædan,v," to lead or bring forth, produce"
forþrysmian,vt," to choke, to suffocate"
forþscype,n, progress
forþsendan,v, to send forth
forþsprecan,v," to speak forth, speak out"
forþteon,v, to lead forth
fot,n," a foot, in the following senses:"
fotlic,adj," on foot, that which is done by foot"
fotscamol,n, footstool
fotwielm,n, sole of the foot
fox,n, fox
foxhol,n, foxhole
framacyrran,v, to turn away or from
framateon,v, to draw away from
frambugan,v, to turn from; to turn away; to leave
framcierran,v," to turn from, avert"
framcynn,n, offspring; progeny; posterity
framfæreld,n, departure
framhweorfan,v, to turn from
framian,v," to avail, profit"
franca,n," lance, javelin, spear"
frea,n," lord, king"
freadrihten,n, lord
frec,adj," greedy, bold"
frecen,n, danger; peril
frecgan,v, to ask
fredan,v," to feel, perceive, be aware, have sense"
frefran,v," to comfort, console"
freht,n," inquiry, especially one pertaining to future events"
fremde,adj," foreign, strange"
freme,adj," vigorous, flourishing"
fremedlæcan,v," to alienate, estrange"
freo,adj," free, at liberty; exempt"
freod,n," peace, frith"
freodom,n," freedom, state of free will"
freogan,v," to free, to liberate"
freolac,n," oblation, free-will offering"
freolic,adj," free, freeborn, noble, ingenuous, comely, goodly"
freols,n, freedom
freolsian,vt, to observe or keep a holy day; celebrate
freolsiend,n," a deliverer, redeemer, liberator"
freond,n, friend
freondlar,n, friendly instruction
freondlaþu,n, a friendly invitation
freondleas,adj, friendless
freondlic,adj, friendly
freondræden,n, friendship
freondscipe,n, friendship
freosan,v, to freeze
fretan,v," to devour, consume, fret; eat up"
fricca,n," crier, herald"
fricgan,v," to inquire, ask"
frician,v," to desire, seek, yearn for"
friclu,n, appetite
fricu,n," use, utilization"
frigedæg,n, Friday
frignan,v," to ask, pray"
frigu,n, love
friþ,n, peace
friþaþ,n, peace oath
friþhus,n, safehouse; asylum; sanctuary
friþleas,adj," peaceless, outlawed, not included in a peace treaty"
friþlic,adj," peaceable, gentle, mild, lenient"
friþotacen,n, symbol for peace
friþsum,adj, peaceful
friþsumian,v," to make peaceable, reconcile"
frocga,n, frog
frod,adj," wise, experienced"
frofor,n," comfort, consolation"
froforgast,n, the Holy Ghost
from,adj," bold, firm, resolute"
frosc,n, frog
frost,n, frost
frowe,n," woman, lady"
fruma,n," beginning, origin"
frumcynn,n, original kind; lineage; descent; origin; genealogy
frumcyrr,n, a first turn or time
frumlida,n," the captain of a ship, boat, or other vessel"
frumsceaft,n, creation (abstract concept or created thing)
frymþ,n," beginning, origin"
fræfel,adj," saucy, cunning, crafty, wanton"
frægn,n, question
frægning,n," asking, enquiry, questioning, interrogation"
frætwe,n," treasures, ornaments"
fuglere,n, fowler
fugol,n, bird
fuht,adj, moist; damp
ful,adj," foul (dirty, stinking, vile, corrupt)"
fulfremed,adj, perfect
fulfremednes,n, perfection
fulgenihtsum,adj, very abundant
fulian,v, to foul
full,adj," full, filled, complete, entire"
fullfyllan,v," to fulfill, accomplish"
fulnes,n, foulness; impurity; stench
fultum,n," help, support; protection, reinforcements"
fultumian,vt," to prop up, support; to help, assist"
fultumleas,adj, without help; helpless
fulwian,v, to baptize
fulwiht,n, baptism
fulwihtian,v, to baptize
fundian,v," to set out, depart"
fus,n," a hastening, progress "
fyhtan,v, to moisten
fylan,v," to defile, pollute, befoul"
fylgan,v, synonym of folgian
fyllan,v, to fill
fyllu,n," one's fill, fulness of food or drink"
fylþ,n," filth, impurity, rottenness"
fyndel,n," invention, device"
fyr,n, fire
fyrdrinc,n," warrior, soldier"
fyrdsearu,n," armour, war equipment"
fyrdwite,n, fine for refusing military service
fyren,adj, fiery
fyrenþearf,n, dire distress
fyrenþearfe,n, plural of fyrenþearf
fyrgengat,n, mountain goat; chamois
fyrhtu,n, fright
fyrhus,n, a firehouse; furnace
fyrhþ,n," forest, wooded country"
fyrhþe,n," forest, wooded country"
fyrn,adj, ancient
fyrst,n, time
fyrstan,n," firestone, flint, pyrite"
fyrtorr,n, lighthouse
fyrwit,n, curiosity; yearning
fysan,v," to send forth, drive away, impel, put to flight, banish"
fysian,v," to drive away, put to flight"
fyst,n, the fist
fyxen,n," female fox, vixen"
fæc,n," a division, space"
fæcele,n, torch
fæcne,adj, deceitful; fraudulent; guileful; wicked
fæder,n, father
fædera,n," father's brother, paternal uncle"
fæderen,adj, paternal; father
fæderland,n, paternal land; inheritance; erf
fæderleas,adj, fatherless
fæderlic,adj," father; fatherly, paternal, ancestral"
fæderrice,n, a paternal kingdom
fægan,v, to paint
fæge,adj," fated to death; doomed, accursed"
fægen,adj," joyful, rejoicing, fain"
fæger,adj, beautiful
fægernes,n, beauty; comeliness; attractiveness; fairness
fægerost,adj," superlative of fæġer: fairest, most beautiful"
fægerra,adj, comparative of fæġer
fægnian,v, to be glad; celebrate; rejoice
fæhþ,n," enmity, hostility, feud"
fæhþu,n," enmity, hostility"
fæle,adj," faithful, trusty, good"
fælsian,v, to cleanse
fæmne,n," virgin, young woman"
fæmnhad,n, virginity
fær,n," sudden danger, calamity"
færbu,n, colour
færeld,n," going, such as walking, or the ability thereof"
færeldboc,n, itinerary
færgripe,n," sudden attack, seizure"
færgryre,n," sudden horror, danger, terror"
fæs,n, fringe
fæsl,n," offspring, progeny"
fæst,adj," firm, stable; constant"
fæstan,v, to fast
fæsten,n," fortress, stronghold, enclosed place"
fæstnes,n," fastness, firmness, firmament, fortification, stability"
fæstnian,v, to fasten or fix; to establish
fæstnung,n, a fastening
fæt,n," vessel, cup"
fætels,n, a bag
fætnes,n," fatness, the richest part of anything"
fætt,adj, fat
fæþm,n," the outstretched arms; embrace, bosom"
gaderian,v," to bring together, gather"
gaderung,n," a gathering, assembly, joining, council, congregation, crowd"
gafol,n," gift, offering"
gafolrand,n, a line; rod
gafolræden,n," tax, tribute"
gal,adj," wanton, lustful; wicked"
galan,v, to sing; enchant
galdor,n," song, incantation; enchantment, spell, divination"
galdre,n," wizard, magician, enchanter, charmer, sorcerer, diviner, soothsayer"
galfull,adj," lustful, lascivious"
gamen,n," game, sport, or pastime"
gamenian,v, to entertain or enjoy oneself; to display happiness or joy
gamol,adj," old, ancient"
gan,v," to go, walk"
gang,n," going, walking"
gangan,v," to go, walk"
gangere,n, a ganger; footman
gangern,n, latrine
gangweg,n, a passageway; gangway
ganot,n, gannet
ganra,n," gander, male goose"
gar,n," spear, arrow, dart"
garas,n, plural of gār
garleac,n, garlic
garsecg,n, ocean
gast,n, spirit
gastbana,n," destroyer of souls; devil, demon"
gastberend,n, a soul-bearer; living person; man
gastcund,adj, spiritual
gastgedal,n, the parting between body and soul; death
gastgifu,n, a spiritual gift
gastleas,adj," lifeless, dead"
gastlic,adj, spiritual
gastsunu,n, a spiritual son
gat,n, goat
gathierde,n, a goatherd; one who herds goats
geac,n, cuckoo
geagnian,v," to own, possess"
geagniendlic,adj," owning, possessive"
geahl,n," jowl, jaw"
gealga,n," gallows, a gibbet"
gealla,n, gall; bile
geancyrr,n, a return
geanhweorfan,v, to turn again
geanian,v, to unite
geanlæcan,v," to make one, join, unite"
geap,adj," crooked, bent, curved"
gear,n, year
gearcian,v," to prepare, supply, make ready"
geard,n," enclosure, an enclosed place"
geardagas,n," olden days, days of yore"
gearlic,adj," yearly, annual, that occurs or lasts a year"
gearn,n, yarn
gearu,adj," ready, prepared"
gearwe,n, yarrow
gearwian,v, to prepare
gearwung,n, preparation
geascian,v," to discover, to find out, to learn by asking"
geat,n, gate
geatan,v, to grant; affirm; assent to
geatolic,adj," splendid, adorned"
geatwa,n, equipment
gebannan,v," to order, command"
gebeacnian,v, synonym of bīecnan
gebeagian,v, to crown
gebed,n," prayer, religious observance"
gebedda,n," bedfellow, consort, wife"
gebeodan,v," to command, order, summon"
gebeor,n," a drinking companion, pot-companion, guest"
gebeorc,n, barking
gebeorg,n," a mountain, hill, barrow"
gebeotian,v," to promise, vow"
geberan,v," to bear, give birth, produce, bring forth, carry out"
gebetan,v," to fix, repair"
gebeterian,v," to better, make better"
gebetung,n," a bettering, an amendment"
gebidan,v," to wait, bide"
gebiddan,v, to pray
gebigednes,n, a bending
gebindan,v," to bind, tie up, fasten, fetter, restrain"
gebland,n," a mixture, mingling, commotion"
geblandan,v," to blend, mix, mingle"
geblissian,v," to make happy, blissen, gladden, fill with bliss; applaud"
geblowan,v," to flourish, blossom, bloom"
gebod,n," command, order, mandate"
gebodian,v," to announce, proclaim, make known, tell"
gebrecan,v," to destroy, break, crush, shatter, bruise"
gebringan,v," to produce, adduce, bring forth, bear, lead"
gebrucan,v," to enjoy, eat"
gebugan,vi," to bow (down), bend, submit"
gebur,n," inhabitant; farmer, husbandman"
gebygan,v," to cause to bend, bow, curve, or turn"
gebyrd,n, birth
gebyrddæg,n, birthday
gebyrde,adj," inborn, innate, natural"
gebyrian,v, to happen
gebæc,n," anything baked, baking, bakemeats"
gecanc,n, a mock; gibe
gecennan,v," to beget, bear children, bring forth, produce"
geceosan,v," to choose; wale, elect, decide, approve, accept"
gecid,n, strife; contention; quarrel
gecidan,v," to chide, reprove; berate; scold, strive, quarrel"
geciegan,v, to call upon
geciegendlic,adj, calling
gecierran,vt, to turn back
gecierrednes,n, conversion
geclofa,n," counterpart of a document, especially one where the original has been destroyed, backup copy"
gecnawan,v," to know, perceive, understand, acknowledge, recognize; beknow"
gecnos,n," knocking together, collision"
gecnyssan,v," to press, trouble"
gecnyttan,v," to tie or fasten to, annex"
gecnæwe,adj, aware (+genitive of something)
gecocnian,v, to season food
gecocsian,v, to cook
gecor,n, choice
gecorennes,n," election, choice"
gecorenscipe,n, election
gecoronian,v," to crown, coronate"
gecuman,vi," to move toward something; reach (something, a location, etc.) by way of movement; arrive at"
gecweþan,v, to speak
gecwician,v, to quicken
gecwide,n," a speech, word; saying, term, expression"
gecwidræden,n," agreement, contract"
gecynd,n, nature as in the natural world
gecyndboc,n," the book of generation, that is Genesis"
gecyndelic,adj, natural
gecyndespræc,n, idiom
gecyrring,n," conversion, changing, turning"
gecyþan,v," to report, to make known"
gedal,n," a division, separation"
geddung,n, a similitude; parable; riddle
gedefe,adj," appropriate, fitting, seemly"
gediegan,v," to survive, endure"
gediht,n, a composition
gedon,v," to do, make, reach a place, effect, cause; beget"
gedrefednes,n, trouble; disturbance
gedrefend,n, troubler
gedrefnes,n," disturbance, tempest"
gedritan,v, to defecate
gedruncnian,vi, to sink; drown
gedryht,n," troop, body of men"
gedwild,n, wandering
gedwimor,n, illusion
gedwol,adj, heretical
gedwola,n," an error, a heresy"
gedwolcræft,n, deceptive art; deception
gedwolgod,n," a false god, an idol"
gedwolmann,n, one who is mistaken; a deluded doer
gedwolspræc,n, heretical speech
gedwolsum,adj, erroneous
gedwomer,n, necromancy
gedæfte,adj, mild; gentle; meek
gedælan,v," to deal out, distribute, share"
geeardian,v," to dwell (+ preposition in or on, in)"
geeaþmedan,v, to humiliate
geeaþmodian,v, to humiliate
geedfreolsian,v," to enfranchise again, to restore to freedom"
geefenlæcan,v," to imitate, copy"
geerian,v, to plough
geetan,v, to eat together; eat with
gefangian,v," to fasten together, join together"
gefaran,v," to reach by going, get to, fare to, arrive, proceed, march"
gefea,n, joy; gladness
gefealdan,v," to fold up, wrap up, roll about"
gefeallan,vi, to fall; stumble; fall from a higher to a lower position; drop; cascade; plummet
gefegan,v," to join, unite, compact, compose"
gefegnes,n," an association; joining, joint, conjunction"
gefelan,v," to be conscious of sensation, perceive, feel"
gefeoht,n," war, battle"
gefeohtan,v, to fight
gefeohtdæg,n, day of battle
gefeon,v," to rejoice, exult"
gefer,n," society, company"
gefera,n," companion, comrade"
gefere,adj," accessible, passable"
geferlæcan,vt, to keep somebody's or something's company or fellowship; to associate together
geferræden,n," companionship, fellowship"
gefic,n," fraud, deceit; swindle, trick, wile"
gefindan,v," to find, to come upon, to meet with"
geflowan,v, to overflow
gefog,adj, fit; suitable
gefolgian,v," to follow, reach by following, attain"
gefon,v," to catch, seize, capture, take"
gefredan,v," to feel, perceive, be aware, have sense"
gefrignan,v," to find out, hear about, discover, learn something through asking"
gefroren,adj," frozen, in a frozen state"
gefræge,adj," known, renowned, celebrated, remarkable, noted, famous, notorious, infamous"
gefrætwian,v," to adorn, deck with treasures"
